order_date,item_code,quality
2023-09-21,T302204001,16
2023-11-13,T302201014,2088
2024-04-18,T302101006,30
2021-10-18,OH058,651
2024-04-11,T302203002,15
2023-12-19,V01MP198,71
2021-12-05,V01MP193,4
2022-12-19,VT03312,6
2021-11-15,V01MP197,174
2022-07-12,EH105,28
2022-02-21,V03MK045,25
2024-07-02,T302105002,35
2021-08-09,EH094,55
2024-05-24,T302201017,354
2022-11-25,V01MP195,6
2021-12-31,V01EB108,150
2021-07-23,EH047,28
2023-08-01,T302101005,878
2021-05-27,OH072,202
2022-09-29,VT80001,8
2023-09-27,T302201014,4904
2023-12-16,V01MP197,2
2022-11-28,VT80039,300
2023-07-07,T302201013,15
2024-05-11,T4011001,20
2024-05-12,T302204004,3
2021-12-03,EH083,30
2024-03-18,T3044004,72
2021-05-09,EH098,2
2023-12-17,T302201018,1252
2023-10-02,V01MP195,1
2024-06-22,T3044004,50
2022-09-05,EH094,5
2023-09-08,T302201013,3
2022-06-02,EH105,17
2022-12-06,V02EG063,31
2024-03-20,VG24X04,22
2021-11-03,OH072,277
2024-03-23,T4021002,5
2023-12-01,T302201014,2450
2022-01-24,V01MP198,35
2024-03-19,T302105002,65
2021-09-10,EH084,7
2024-02-25,T302201018,423
2021-10-23,V01MP196,9
2023-10-06,T302203002,269
2024-04-18,T302201018,557
2023-12-21,T4011003,10
2024-05-19,T302101006,3
2023-11-10,T302201015,61
2023-12-19,T302202004,57
2022-05-06,EH094,5
2022-12-19,V01MP196,7
2024-07-09,T302203003,230
2024-05-13,T302202003,1
2024-03-29,T4021002,2
2021-10-28,EH119,19
2023-04-28,V01MP195,1
2022-12-05,VT80113,2277
2021-05-06,OH032,17
2021-08-09,EH083,5
2023-11-01,T302101006,136
2021-10-06,V01MP193,41
2021-07-06,OH058,395
2023-04-21,V01MP197,25
2024-01-09,T302201017,710
2024-04-24,T302202003,3
2021-11-05,VT04707,300
2024-02-19,T302201017,1137
2021-07-24,EH020,43
2024-04-28,T302201017,74
2022-06-22,VT04709,60
2022-03-24,EH094,30
2022-01-19,OH072,20
2022-01-19,EH083,58
2024-06-30,T302204001,10
2021-05-25,OH058,170
2023-12-30,VT80241,769
2021-05-18,EH118,2
2021-08-26,EH020,283
2021-08-27,EH047,18
2023-05-23,V01MP197,30
2021-11-22,EH094,29
2021-06-15,EH083,1
2023-01-04,EH112,10
2022-07-26,VT04810,2
2024-06-10,T4021002,26
2021-07-26,EH121,156
2023-04-27,V01MP198,108
2022-01-13,EH119,18
2023-11-15,T302204001,152
2024-03-25,T302201014,4664
2022-10-08,VT80040,162
2023-08-31,T302201013,1
2024-01-10,T4011001,88
2021-10-15,EH105,125
2024-05-14,T302204001,271
2021-05-05,EH098,4
2023-12-20,VT80176,1
2024-03-01,T302202004,1
2022-07-18,VT03103,2
2024-01-30,T302201018,10482
2021-09-20,EH121,72
2024-01-16,EH112,4
2022-03-23,EH105,11
2024-04-11,T3044004,289
2021-12-07,VT04707,305
2021-12-05,EH094,17
2024-03-29,T4011003,88
2024-05-25,T302204004,21
2023-04-28,V01MP194,103
2024-04-26,T302204002,51
2024-02-26,T302105002,120
2021-07-03,OH072,2
2021-05-06,EH085,5
2021-09-19,OH072,269
2024-02-05,T302203002,230
2021-07-05,VT04708,30
2023-09-27,OH048,40
2024-06-24,T302201015,102
2021-10-05,V01MP198,404
2023-12-29,OH048,5
2023-12-11,T302202004,38
2023-12-23,T302204002,48
2024-03-16,T302201015,120
2024-03-16,T302201018,1174
2023-11-23,T302101006,260
2021-10-22,EH085,10
2024-05-21,T302101005,293
2022-11-09,VT80085,2
2022-03-14,EH084,790
2024-06-25,T302202003,57
2021-12-11,OH072,19
2022-10-16,EH105,5
2024-01-05,V01MP197,47
2021-11-11,V01MP194,2
2022-10-28,V01MP196,7
2023-04-26,V01MP197,52
2023-12-05,T302202003,4
2024-02-23,T4011001,81
2022-09-21,EH094,5
2021-10-31,EH094,20
2024-07-06,T302204001,5
2022-10-11,VT80098,29
2023-11-20,T302202003,33
2021-06-06,V01MP196,3
2021-11-25,OH072,545
2021-10-15,V01MP193,31
2024-02-25,T302203002,30
2024-02-16,T302203002,450
2021-11-13,V01MP193,10
2024-04-11,T4021002,43
2024-04-11,T302204004,255
2024-06-13,T302203002,60
2023-11-05,T302201013,2
2024-05-13,T302201013,2
2022-02-18,EH085,50
2023-11-22,T302203002,627
2023-12-12,T302201018,4478
2024-04-26,T302105002,119
2022-10-25,V01MP194,2
2022-11-25,V02EG128,10
2023-12-13,T4021002,36
2021-09-21,EH047,2
